"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2071/2072",2072,120,120,100,1436.13754613974,1205.5,1043.14141788899,1350,1150,1226,1150,66.9806648071826
"2072/2073",2073,121,121,100,1831.44294897665,1598.5,1413.66692197356,1728,1537.5,1548,1529.5,79.1030201981321
"2073/2074",2074,120,120,100,1240.81217745005,994.5,847.00840893756,1128.5,943.5,997,910,63.5042539498336
"2074/2075",2075,120,120,100,1616.64413350911,1376.5,1236.10314026067,1484,1350.5,1328,1332,75.1505237659821
"2075/2076",2076,120,120,100,1887.85291732641,1593.5,1392.91185608397,1780.5,1520,1630,1515,80.8564688801671
"2076/2077",2077,121,121,100,1398.22102027771,1034.5,874.399009834175,1288,964,1232,964,70.1526624468752
"2077/2078",2078,120,120,100,1369.67098485937,1026.5,860.219540384525,1256.5,955.5,1208,955.5,64.3035684980259
"2078/2079",2079,120,120,100,1637.82672626767,1303.5,1090.56901945759,1533.5,1216.5,1452,1205.5,71.9076778899744
"2079/2080",2080,120,120,100,1806.4002268163,1490,1284.57872663715,1702.5,1417,1573,1417,77.6369718694114
"2080/2081",2081,121,121,100,1430.52257789311,1274.5,1152.02403230184,1319,1234.5,1164,1232.5,66.288687822811
"2081/2082",2082,120,120,100,1527.49120263528,1216.5,1052.06053507274,1405,1175,1263,1151.5,69.6082507976625
"2082/2083",2083,120,120,100,1628.26684969832,1414.5,1209.92115509849,1521.5,1356,1412,1341,74.5124922618579
"2083/2084",2084,120,120,100,1614.95084250002,1256.5,1068.15802614538,1497,1176,1423,1175.5,75.4409615126606
"2084/2085",2085,121,121,100,1504.3448234055,1195.5,1014.39660145003,1369.5,1153,1293,1135.5,65.0693397553969
"2085/2086",2086,120,120,100,1417.65023216017,1165.5,1046.06817476949,1313,1117,1151,1117,67.8398548751502
"2086/2087",2087,120,120,100,1374.4924458504,1049.5,916.985119644582,1252.5,978.5,1175,968.5,68.3097179617816
"2087/2088",2088,120,120,100,1371.45592924632,1107,958.13326436108,1263.5,1060,1116,1052,66.9105911222978
"2088/2089",2089,121,121,100,1567.02204067359,1308.5,1097.43790642342,1465,1213.5,1378,1209,71.5332453055307
"2089/2090",2090,120,120,100,1463.30194385827,1105,901.583782162459,1361.5,999.5,1335,999.5,70.3171909281518
"2090/2091",2091,120,120,100,1262.65154511132,1009,935.616315191131,1147,996,987,995.5,64.4549071105703
"2091/2092",2092,120,120,100,1411.95392474299,1100.5,903.50305746161,1295.5,1019.5,1239,1018,70.5317209116456
"2092/2093",2093,121,121,100,1550.94994272286,1290,1154.02879468148,1448,1233.5,1303,1224.5,74.863682347097
"2093/2094",2094,120,120,100,1197.30242859141,1034.5,992.323883367499,1099,1035,882,1033.5,60.2654005016866
"2094/2095",2095,120,120,100,1629.4841798608,1297,1089.8340056482,1514,1209.5,1457,1209.5,75.0440682268745
"2095/2096",2096,120,120,100,1593.01392177126,1289,1157.72419496266,1472,1253.5,1308,1238.5,75.3443722835691
"2096/2097",2097,121,121,100,1274.03074489941,998,852.019987541426,1108.5,987.5,1012,903,65.7109364866883
"2097/2098",2098,120,120,100,1328.20782596048,1118,993.982096995547,1226,1106.5,1058,1095.5,63.9181633113785
"2098/2099",2099,120,120,100,1615.22241973935,1332.5,1157.1459724875,1488.5,1286,1374,1276.5,73.9564457540182
"2099/2100",2100,120,120,100,1649.73238158191,1309.5,1083.51858776355,1545,1195.5,1474,1181,72.7648695938715
"2100/2101",2101,120,120,100,1561.27763584832,1297,1183.97314829686,1435,1268.5,1269,1268.5,70.3643572699275
