"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2086/2087",2087,120,120,100,1257.52364149963,932.5,801.574006941068,1140.5,872,1119,870.5,61.4026799694911
"2087/2088",2088,120,120,100,1265.8936950792,992.5,848.153291526236,1163,930.5,1056,929,59.4730664549788
"2088/2089",2089,121,121,100,1440.28149149759,1136,944.926138451294,1360,1057,1328,1057,65.5444246225652
"2089/2090",2090,120,120,100,1289.46831113758,891,707.155887587214,1192.5,802.5,1166,802.5,61.145581896737
"2090/2091",2091,120,120,100,1179.69095726399,944.5,840.294161037367,1072.5,915.5,958,915.5,56.8812410053179
"2091/2092",2092,120,120,100,1241.29710164876,920.5,728.314793551195,1144.5,821,1138,821,62.268123185735
"2092/2093",2093,121,121,100,1477.64250816539,1183,1048.96380310299,1376,1135.5,1260,1132.5,69.2682295137856
"2093/2094",2094,120,120,100,1192.12735527259,1044,979.206397195201,1103.5,1033,922,1033,55.8339855583581
"2094/2095",2095,120,120,100,1435.3805450392,1059.5,875.330592041908,1325,992.5,1310,992.5,65.337730492347
"2095/2096",2096,120,120,100,1502.23576487426,1202,1045.89681011402,1409,1142,1280,1137,69.7157949656703
"2096/2097",2097,121,121,100,1185.71059692686,914,784.95430073679,1076.5,878,933,835.5,61.4287852595044
"2097/2098",2098,120,120,100,1260.0000745107,1055.5,906.719594697744,1167,1011.5,1067,1007,58.6958158356465
"2098/2099",2099,120,120,100,1502.57375133119,1228,1000.29872252594,1405,1121.5,1360,1120,69.8695262214096
"2099/2100",2100,120,120,100,1494.05966939899,1123,916.12638679659,1396,1020.5,1362,1016.5,64.3933455293609
"2100/2101",2101,120,120,100,1510.23349342641,1231,1078.51824836351,1397,1189,1311,1189,66.4392507986013
