"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2039/2040",2040,120,120,100,1728,1587,81.4438377735542,1869.25514280144
"2040/2041",2041,121,121,100,1540,1258,73.3822056433237,1115.8811746873
"2041/2042",2042,120,120,100,1537,941.5,66.7225663266745,530.906846521888
"2042/2043",2043,120,120,100,1506,1615.5,77.6041061352244,2826.22613649955
"2043/2044",2044,120,120,100,1230,795.5,64.3387750651427,568.4906107313
"2044/2045",2045,121,121,100,1576,1147,71.8741399244636,982.197694365866
"2045/2046",2046,120,120,100,1176,1019,66.0631811844478,1084.2373970733
"2046/2047",2047,120,120,100,1147,825.5,61.0174225703295,1048.16895267041
"2047/2048",2048,120,120,100,1474,1073,67.9702042109484,848.313200305216
"2048/2049",2049,121,121,100,1515,1128,74.3765071302332,728.714472678956
"2049/2050",2050,120,120,100,1150,856,65.0180160652217,472.982459985185
"2050/2051",2051,120,120,100,991,607,62.8966110449619,548.278435181826
"2051/2052",2052,120,120,100,1214,1020,69.6045596631602,1342.42383736046
"2052/2053",2053,121,121,100,1333,1197,71.3132773661036,1759.0352605884
"2053/2054",2054,120,120,100,1534,1384.5,75.7300685101727,1432.37480486091
"2054/2055",2055,120,120,100,1484,1256,74.9283315373732,1620.42278353963
"2055/2056",2056,120,120,100,1285,1062.5,67.2542837000865,1336.07336165383
"2056/2057",2057,121,121,100,1106,860,66.1951958119871,2171.1274548145
"2057/2058",2058,120,120,100,1324,1126,64.2793414287135,1037.11747614667
"2058/2059",2059,120,120,100,1585,1340.5,79.5054409180957,1323.66028576391
"2059/2060",2060,120,120,100,1023,834,54.6525890772664,1030.24124731217
"2060/2061",2061,121,121,100,1513,1348,77.0683441292858,1447.03270519199
"2061/2062",2062,120,120,100,1004,917,59.7618890655594,2717.73348928709
"2062/2063",2063,120,120,100,1105,743.5,63.7550058406287,956.707986749243
"2063/2064",2064,120,120,100,1252,926.5,66.2386998325183,424.309967390727
"2064/2065",2065,121,121,100,1294,1146.5,68.8522470364369,1207.32077616919
"2065/2066",2066,120,120,100,1576,1236,75.6547307178025,1152.57322784467
"2066/2067",2067,120,120,100,1491,1195,72.0993769271445,927.120734775905
"2067/2068",2068,120,120,100,1225,833,65.3538596197104,541.591546095908
"2068/2069",2069,121,121,100,1638,1496.5,79.6732984933296,1759.27366720466
"2069/2070",2070,120,120,100,1229,1016,67.8891109554443,1635.59634062974
"2070/2071",2071,120,120,100,1456,1136,70.6573082226478,1150.28628739808
"2071/2072",2072,120,120,100,1277,1051,68.3510214750368,1089.41730917431
"2072/2073",2073,121,121,100,1264,1193.5,76.4343322158529,2002.06463549612
"2073/2074",2074,120,120,100,1596,1424.5,76.903226914681,1482.7338164798
"2074/2075",2075,120,120,100,1104,977,64.4291153666454,3027.56106158532
"2075/2076",2076,120,120,100,1410,1363.5,75.6471717057721,1808.4007052267
"2076/2077",2077,121,121,100,1663,1364.5,79.2896734533952,1373.53232136462
"2077/2078",2078,120,120,100,1200,817.5,66.4989953329496,493.10426202463
"2078/2079",2079,120,120,100,1358,921.5,63.094356966305,237.580277215689
"2079/2080",2080,120,120,100,1546,1156,73.6572334598222,795.230174571276
"2080/2081",2081,121,121,100,1481,1329.5,76.4506861694244,1342.33147393167
"2081/2082",2082,120,120,100,1471,1282.5,69.0559201124379,1552.89954863116
"2082/2083",2083,120,120,100,1397,1078,70.8036972729351,1398.61134987883
"2083/2084",2084,120,120,100,1615,1424,77.1216631920233,1899.94731791876
"2084/2085",2085,121,121,100,1135,812.5,63.4940051786562,741.846199467778
"2085/2086",2086,120,120,100,1484,1251.5,69.8398908698491,728.583044171333
"2086/2087",2087,120,120,100,1206,955,64.1347806513495,1175.85144548677
"2087/2088",2088,120,120,100,1419,1042.5,68.8755122953953,759.703656135127
"2088/2089",2089,121,121,100,1309,1079,70.9256668244598,1582.72592472937
"2089/2090",2090,120,120,100,1548,1185,75.280837902621,631.86453520041
"2090/2091",2091,120,120,100,1158,807.5,65.8312424741362,436.379763256758
"2091/2092",2092,120,120,100,1182,989.5,65.0861950996314,677.972545136698
"2092/2093",2093,121,121,100,1270,938,68.7312229350991,485.373072487302
"2093/2094",2094,120,120,100,1376,1175.5,72.7310340630793,1474.35548418202
"2094/2095",2095,120,120,100,1351,1170,69.1960311898456,1116.65655761771
"2095/2096",2096,120,120,100,1552,1190.5,76.5702427714987,718.459087202325
"2096/2097",2097,121,121,100,1387,1213.5,73.7688072368383,2986.29399848543
"2097/2098",2098,120,120,100,1115,1037,72.6894553245747,2338.92746237013
"2098/2099",2099,120,120,100,1340,1165,68.3613996273671,957.839510005899
"2099/2100",2100,120,120,100,1309,970,67.8987286536776,1494.14020009805
"2100/2101",2101,120,61,50.8333333333333,938,848,42.381640344136,1084.52430330589
