"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2074/2075",2075,120,120,100,1086,960.5,63.656154913524,3932.76414939156
"2075/2076",2076,120,120,100,1358,1414.5,76.7956375919184,2355.96510205278
"2076/2077",2077,121,121,100,1574,1415,79.4319508425633,2057.85670702578
"2077/2078",2078,120,120,100,1264,963.5,68.3652833937522,812.311715569347
"2078/2079",2079,120,120,100,1421,1073.5,66.949150991506,486.887427343987
"2079/2080",2080,120,120,100,1554,1268.5,76.4294230256965,1299.90798043367
"2080/2081",2081,121,121,100,1391,1375,76.2172977269111,1996.15857183747
"2081/2082",2082,120,120,100,1326,1302.5,68.6073888321807,2542.45464766584
"2082/2083",2083,120,120,100,1321,1147,71.9722854002412,2182.71644229814
"2083/2084",2084,120,120,100,1453,1431.5,75.9864236674402,2755.51641570684
"2084/2085",2085,121,121,100,1224,973,63.0957514257498,946.997479488142
"2085/2086",2086,120,120,100,1303,1291.5,69.4806302068409,1388.50269726291
"2086/2087",2087,120,120,100,1123,1028.5,65.8077715441013,2039.42587794643
"2087/2088",2088,120,120,100,1393,1123,68.4279089694046,1311.97385381162
"2088/2089",2089,121,121,100,1199,1109.5,70.2711598989572,2452.60531215463
"2089/2090",2090,120,120,100,1457,1300,76.3873249608387,1199.10439020209
"2090/2091",2091,120,120,100,1193,964,67.9435556593944,835.090206802823
"2091/2092",2092,120,120,100,1068,1026.5,65.1964414609065,1433.44177608658
"2092/2093",2093,121,121,100,1290,1047.5,69.2892877769682,953.745344978757
"2093/2094",2094,120,120,100,1193,1134,71.5024408573245,2449.62880469766
"2094/2095",2095,120,120,100,1200,1199.5,70.072993264439,1966.9031386571
"2095/2096",2096,120,120,100,1409,1270,76.8658034366854,1371.28118265048
"2096/2097",2097,121,121,100,1250,1197,74.0129362280277,4097.12738651223
"2097/2098",2098,120,120,100,1041,986,71.417278025534,3394.52616204228
"2098/2099",2099,120,120,100,1205,1213.5,69.8339207672252,1691.39077494852
"2099/2100",2100,120,120,100,1172,1018,67.7079694467157,2245.68890144583
"2100/2101",2101,120,61,50.8333333333333,915,944,43.2797978692215,1924.66732651182
