"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2030/2031",2031,120,120,100,1518,1315.5,77.6222137501136,1103.12501011929
"2031/2032",2032,120,120,100,1295,990.5,68.5515107216434,1073.67204396916
"2032/2033",2033,121,121,100,1450,1030,66.2152546358693,870.216871253215
"2033/2034",2034,120,120,100,1256,891.5,66.4956598411209,578.900953084696
"2034/2035",2035,120,120,100,941,782.5,55.2551647699192,649.499432549113
"2035/2036",2036,120,120,100,1191,980.5,62.7067870200117,1137.10115345428
"2036/2037",2037,121,121,100,1536,1317,75.3256685295682,815.133173940936
"2037/2038",2038,120,120,100,1005,636.5,62.1144956044836,470.039713220904
"2038/2039",2039,120,120,100,1465,1215.5,72.282279412756,1320.35874423338
"2039/2040",2040,120,120,100,1752,1529.5,77.918351960001,1449.10776349832
"2040/2041",2041,121,121,100,1512,1171.5,71.463072402109,800.14549263753
"2041/2042",2042,120,120,100,1414,854,63.1094563295765,393.340983179398
"2042/2043",2043,120,120,100,1555,1589.5,78.1066807532461,2326.64387007337
"2043/2044",2044,120,120,100,1170,734.5,61.3858427169953,449.958243019879
"2044/2045",2045,121,121,100,1550,1088,67.7114814131601,797.304548654705
"2045/2046",2046,120,120,100,1175,979.5,63.3031700029887,867.041325605474
"2046/2047",2047,120,120,100,1097,756,58.776898970239,885.026334758848
"2047/2048",2048,120,120,100,1400,1000.5,65.7897685567141,695.737784052268
"2048/2049",2049,121,121,100,1471,1059,71.6760059179296,532.57871204894
"2049/2050",2050,120,120,100,1119,804,61.6633303931158,358.970178867225
"2050/2051",2051,120,120,100,907,530.5,59.3975622961725,417.314769190736
"2051/2052",2052,120,120,100,1156,966,67.4737991805587,1079.50313481782
"2052/2053",2053,121,121,100,1344,1129,69.3133974916027,1385.01033087214
"2053/2054",2054,120,120,100,1540,1340,74.1879616353081,1126.15412753355
"2054/2055",2055,120,120,100,1445,1188.5,73.458536019436,1392.43096214673
"2055/2056",2056,120,120,100,1249,1001,64.7554559041801,1055.91752581438
"2056/2057",2057,121,121,100,1081,827,62.4364909369124,1821.81930478662
"2057/2058",2058,120,120,100,1312,1088,62.6582174679916,789.203676468693
"2058/2059",2059,120,120,100,1516,1230,76.3113886603751,1114.00899335137
"2059/2060",2060,120,120,100,945,767.5,50.688088734476,833.146403756458
"2060/2061",2061,121,121,100,1530,1315.5,74.3575586671413,1228.37528567435
"2061/2062",2062,120,120,100,989,937,53.2728763950381,2432.97338161152
"2062/2063",2063,120,120,100,1059,709,60.8195134059279,767.742989809252
"2063/2064",2064,120,120,100,1184,821,61.6888190111349,268.602089815307
"2064/2065",2065,121,121,100,1264,1113,66.3290171025437,1080.19239287358
"2065/2066",2066,120,120,100,1489,1140,72.8738777519447,987.075139896944
"2066/2067",2067,120,120,100,1495,1129,70.4540884058642,676.647865646053
"2067/2068",2068,120,120,100,1168,788,63.1258873755487,426.404307962395
"2068/2069",2069,121,121,100,1593,1448,75.7380983037983,1570.21521987347
"2069/2070",2070,120,120,100,1199,985.5,67.2632765180824,1435.2693127878
"2070/2071",2071,120,120,100,1421,1111,69.2908796291395,927.141777385958
"2071/2072",2072,120,120,100,1288,976.5,67.3653809382486,767.383955742698
"2072/2073",2073,121,121,100,1283,1179,74.5842353908156,1643.44454444107
"2073/2074",2074,120,120,100,1622,1393,74.7965444591846,1184.73471461562
"2074/2075",2075,120,120,100,1148,959,63.5873303074459,2673.4167897664
"2075/2076",2076,120,120,100,1465,1316.5,73.3629179666641,1371.33651393419
"2076/2077",2077,121,121,100,1593,1276.5,77.421028996534,1156.19817655627
"2077/2078",2078,120,120,100,1144,713,63.9436952158703,337.77701675659
"2078/2079",2079,120,120,100,1317,868.5,62.4149979942667,176.868312709965
"2079/2080",2080,120,120,100,1479,1069,71.0222414838518,688.051943244878
"2080/2081",2081,121,121,100,1484,1288.5,75.5330764754508,1090.20000248635
"2081/2082",2082,120,120,100,1445,1262,65.9611198068505,1369.5774827092
"2082/2083",2083,120,120,100,1323,1031.5,69.3566902754155,1155.59772283724
"2083/2084",2084,120,120,100,1616,1371.5,75.4744931961159,1587.7623710027
"2084/2085",2085,121,121,100,1071,746.5,58.4358455757756,557.539496180601
"2085/2086",2086,120,120,100,1457,1181,68.4408367422111,524.470609469339
"2086/2087",2087,120,120,100,1127,930,61.5177624988592,1002.06545152888
"2087/2088",2088,120,120,100,1362,951,64.2469835214688,577.556751765311
"2088/2089",2089,121,121,100,1237,1049,68.3623699735053,1364.29234070331
"2089/2090",2090,120,120,100,1483,1105,72.4921859800488,463.127592936158
"2090/2091",2091,120,120,100,1122,751.5,62.8016049768812,373.483217470348
"2091/2092",2092,120,120,100,1147,935.5,61.3921042109559,547.833199089393
"2092/2093",2093,121,121,100,1239,849,66.6425717636939,346.743111290969
"2093/2094",2094,120,120,100,1328,1147,69.752873122854,1208.99972434435
"2094/2095",2095,120,120,100,1351,1126,65.8841636248399,900.785158906132
"2095/2096",2096,120,120,100,1466,1083.5,73.8863413722702,595.211701991968
"2096/2097",2097,121,121,100,1330,1169,72.1941185082578,2633.60973038618
"2097/2098",2098,120,120,100,1078,983.5,71.1082929062777,1982.59569135495
"2098/2099",2099,120,120,100,1320,1116.5,67.0249158805382,795.468603515998
"2099/2100",2100,120,120,100,1246,916.5,65.0343004097886,1243.2669786457
"2100/2101",2101,120,61,50.8333333333333,985,859.5,41.9951259672707,879.733072098345
