"","DATE","Measured_Temp","Linear_Interp","Non_Linear_Interp"
"70",2019-04-03 22:00:00,5.86166664759318,6.04437501728535,5.51566829430096
"71",2019-04-03 23:00:00,5.4816666841507,5.4816666841507,5.11620537077525
"72",2019-04-04 00:00:00,5.12499996026357,5.60842594261523,4.64584020776004
"73",2019-04-04 01:00:00,4.83666671911875,5.73518520107976,4.35105279215812
"74",2019-04-04 02:00:00,4.3599999666214,5.86194445954429,4.09318828413489
"75",2019-04-04 03:00:00,4.16833326816559,5.98870371800882,3.86401839722422
"76",2019-04-04 04:00:00,3.75333332618077,6.11546297647335,3.65779166629853
"77",2019-04-04 05:00:00,3.74166667064031,6.24222223493788,3.47032940314278
"78",2019-04-04 06:00:00,3.87000000874201,6.36898149340241,3.97218124122896
"79",2019-04-04 07:00:00,3.9200000166893,6.49574075186695,4.73059674404334
