"Month","Tmin","Tmax","CP"
10,-19,15,0.506152383289855
10,-19,16,0.502603792445098
10,-19,17,0.480252049741934
10,-19,18,0.435860601926539
10,-19,19,0.453315335616258
10,-19,20,0.348925152810491
10,-19,21,0.208183352024274
10,-19,22,0.0711688302207308
10,-19,23,0
10,-19,24,0
10,-19,25,0
10,-19,26,0
10,-19,27,0
10,-19,28,0
10,-19,29,0
10,-19,30,0
10,-18,-15,9.54003700533307e-13
10,-18,-14,4.9023754010311e-12
10,-18,-13,2.57041719543785e-11
10,-18,-12,1.35211609689172e-10
10,-18,-11,7.0811291787199e-10
10,-18,-10,3.67778378623348e-09
10,-18,-9,1.89043828624284e-08
10,-18,-8,9.60611473036867e-08
10,-18,-7,4.8226910507762e-07
10,-18,-6,2.39158496108276e-06
10,-18,-5,1.17116598910407e-05
10,-18,-4,5.66358100180451e-05
10,-18,-3,0.000270401677653962
10,-18,-2,0.00127307660982919
10,-18,-1,0.00587754490517849
10,-18,0,0.0259752077496329
10,-18,1,0.100441960388184
10,-18,2,0.273531975742392
10,-18,3,0.445349021748725
10,-18,4,0.474214613763791
10,-18,5,0.491730784545012
10,-18,6,0.510881614572295
10,-18,7,0.522712700461121
10,-18,8,0.535599854529
10,-18,9,0.539226043798882
10,-18,10,0.551051341961777
10,-18,11,0.547453403204293
10,-18,12,0.546097402123577
10,-18,13,0.54180729183771
10,-18,14,0.529785270589252
10,-18,15,0.521152523659198
10,-18,16,0.51081158690864
10,-18,17,0.475360615117547
10,-18,18,0.451359285057851
10,-18,19,0.417209569933555
10,-18,20,0.362191818500048
10,-18,21,0.209935042331915
10,-18,22,0.0829843838783133
10,-18,23,0.0126370359028989
10,-18,24,0
10,-18,25,0
10,-18,26,0
10,-18,27,0
10,-18,28,0
10,-18,29,0
10,-18,30,0
10,-17,-15,1.17539159557048e-12
10,-17,-14,5.56375054977973e-12
10,-17,-13,2.80191594850788e-11
10,-17,-12,1.44093002009675e-10
10,-17,-11,7.44021910601067e-10
10,-17,-10,3.82782820129891e-09
10,-17,-9,1.9546588990339e-08
10,-17,-8,9.88625896941315e-08
10,-17,-7,4.94702026687401e-07
10,-17,-6,2.44713166805501e-06
10,-17,-5,1.19627856891659e-05
10,-17,-4,5.77782046948734e-05
10,-17,-3,0.000275611279662651
10,-17,-2,0.00129679994013075
10,-17,-1,0.00598474499444592
10,-17,0,0.0264471620769118
10,-17,1,0.102332983637345
10,-17,2,0.279162951730626
10,-17,3,0.454768974946333
10,-17,4,0.482915911414749
10,-17,5,0.504152882422608
10,-17,6,0.517250561658008
10,-17,7,0.535717652494951
10,-17,8,0.544183413087585
10,-17,9,0.550099428559395
10,-17,10,0.56082185860075
10,-17,11,0.559368697030197
10,-17,12,0.544502305624816
10,-17,13,0.550488257623101
10,-17,14,0.533073746768629
10,-17,15,0.529357579197614
10,-17,16,0.516059758898072
10,-17,17,0.475809380154581
10,-17,18,0.452881200095314
10,-17,19,0.422380135096659
10,-17,20,0.393475620635618
10,-17,21,0.22956158595975
10,-17,22,0.0921403273881799
10,-17,23,0.0253416448825695
10,-17,24,0
10,-17,25,0
10,-17,26,0
10,-17,27,0
10,-17,28,0
10,-17,29,0
10,-17,30,0
10,-16,-15,1.72518885275854e-12
10,-16,-14,6.82732477108998e-12
10,-16,-13,3.16748878342387e-11
10,-16,-12,1.56506939779072e-10
10,-16,-11,7.9041619788332e-10
10,-16,-10,4.0114364099322e-09
10,-16,-9,2.0301417713578e-08
10,-16,-8,1.02047296963734e-07
10,-16,-7,5.08386696886825e-07
10,-16,-6,2.50704070779197e-06
10,-16,-5,1.22286360139611e-05
10,-16,-4,5.89693577893852e-05
10,-16,-3,0.000280979309506755
10,-16,-2,0.0013210299996196
10,-16,-1,0.00609356985600437
10,-16,0,0.0269248061262447
10,-16,1,0.104250655758489
10,-16,2,0.284924264168979
10,-16,3,0.46443890150139
10,-16,4,0.492675027012628
10,-16,5,0.514032748845518
10,-16,6,0.525248647918506
10,-16,7,0.549091121820746
10,-16,8,0.552019683465369
10,-16,9,0.563972366748219
10,-16,10,0.570431934321227
10,-16,11,0.563610297487573
10,-16,12,0.560105655283488
10,-16,13,0.560012418376164
10,-16,14,0.54708294975401
10,-16,15,0.538930405052769
10,-16,16,0.506317496574642
10,-16,17,0.488369787963896
10,-16,18,0.460012602475635
10,-16,19,0.427172632029597
10,-16,20,0.391617574775863
10,-16,21,0.252668572835773
10,-16,22,0.119826397946436
10,-16,23,0.0258139189345821
10,-16,24,0
10,-16,25,0
10,-16,26,0
10,-16,27,0
10,-16,28,0
10,-16,29,0
10,-16,30,0
10,-15,-15,3.52098404867801e-12
10,-15,-14,9.98304083025544e-12
10,-15,-13,3.87450500854872e-11
10,-15,-12,1.76382756081584e-10
10,-15,-11,8.56120431917344e-10
10,-15,-10,4.25154712524719e-09
10,-15,-9,2.12326706473837e-08
10,-15,-8,1.05807040095447e-07
10,-15,-7,5.24014633192343e-07
10,-15,-6,2.57350314245048e-06
10,-15,-5,1.25164636082574e-05
10,-15,-4,6.0233306333579e-05
10,-15,-3,0.000286584323288498
10,-15,-2,0.00134601593271993
10,-15,-1,0.00620476551553658
10,-15,0,0.0274100971666894
10,-15,1,0.106198594212418
10,-15,2,0.290820184337047
10,-15,3,0.474280059225207
10,-15,4,0.507083551528644
10,-15,5,0.526370836366193
10,-15,6,0.53650423228946
10,-15,7,0.56055120184367
10,-15,8,0.560065981295155
10,-15,9,0.574850851253322
10,-15,10,0.581789172899203
10,-15,11,0.568783918352108
10,-15,12,0.573363684636803
10,-15,13,0.571239822799416
10,-15,14,0.563833363291953
10,-15,15,0.546047340764044
10,-15,16,0.516104496914509
10,-15,17,0.503011212790751
10,-15,18,0.468604276408084
10,-15,19,0.441871507251884
10,-15,20,0.398403961262958
10,-15,21,0.2448840815409
10,-15,22,0.136771120615355
10,-15,23,0.0420704866433761
10,-15,24,0
10,-15,25,0
10,-15,26,0
10,-15,27,0
10,-15,28,0
10,-15,29,0
10,-15,30,0
10,-14,-14,2.0241081787653e-11
10,-14,-13,5.64908707838154e-11
10,-14,-12,2.15256992028634e-10
10,-14,-11,9.62684008451279e-10
10,-14,-10,4.59536586083016e-09
10,-14,-9,2.24622977634434e-08
10,-14,-8,1.10492067901187e-07
10,-14,-7,5.42639290703974e-07
10,-14,-6,2.64987458149571e-06
10,-14,-5,1.28372222957388e-05
10,-14,-4,6.16061602661684e-05
10,-14,-3,0.000292544973892788
10,-14,-2,0.00137214115403909
10,-14,-1,0.00631952298488862
10,-14,0,0.0279063753225255
10,-14,1,0.108183759762597
10,-14,2,0.296858957096334
10,-14,3,0.484237068616736
10,-14,4,0.514775876678473
10,-14,5,0.536525023700768
10,-14,6,0.54875856295984
10,-14,7,0.572250756200343
10,-14,8,0.571328018585021
10,-14,9,0.586696942483929
10,-14,10,0.587830682920144
10,-14,11,0.574215688508053
10,-14,12,0.586820986167188
10,-14,13,0.584677572848688
10,-14,14,0.570754563037469
10,-14,15,0.54170446159727
10,-14,16,0.527228812350423
10,-14,17,0.504363954904392
10,-14,18,0.479997972764585
10,-14,19,0.444114637226013
10,-14,20,0.41268061526949
10,-14,21,0.292286613441598
10,-14,22,0.157045554490467
10,-14,23,0.0543308303065443
10,-14,24,0
10,-14,25,0
10,-14,26,0
10,-14,27,0
10,-14,28,0
10,-14,29,0
10,-14,30,0
10,-13,-13,1.1388521140226e-10
10,-13,-12,3.13198745435055e-10
10,-13,-11,1.17307041468963e-09
10,-13,-10,5.159100341498e-09
10,-13,-9,2.42422469941536e-08
10,-13,-8,1.16736047551163e-07
10,-13,-7,5.66035904120689e-07
10,-13,-6,2.74149575051392e-06
10,-13,-5,1.32077357161017e-05
10,-13,-4,6.31422626281967e-05
10,-13,-3,0.000299038476543439
10,-13,-2,0.00139998079675332
10,-13,-1,0.00643966015254843
10,-13,0,0.0284189211333433
10,-13,1,0.110217857121795
10,-13,2,0.303054681251865
10,-13,3,0.494357235078013
10,-13,4,0.522782838409561
10,-13,5,0.544860501472628
10,-13,6,0.560692316539925
10,-13,7,0.581574432895229
10,-13,8,0.582905958201463
10,-13,9,0.599487945156334
10,-13,10,0.59571175573947
10,-13,11,0.593574752783785
10,-13,12,0.597106586245903
10,-13,13,0.591857303389982
10,-13,14,0.574805613842125
10,-13,15,0.547481958521451
10,-13,16,0.543656057509064
10,-13,17,0.511431419102974
10,-13,18,0.485576371684367
10,-13,19,0.44538237984243
10,-13,20,0.4370148217257
10,-13,21,0.310204382613151
10,-13,22,0.173728780488611
10,-13,23,0.0692874782285465
10,-13,24,0
10,-13,25,0
10,-13,26,0
10,-13,27,0
10,-13,28,0
10,-13,29,0
10,-13,30,0
10,-12,-12,6.28235942335877e-10
10,-12,-11,1.70432048011912e-09
10,-12,-10,6.28068777408661e-09
10,-12,-9,2.71877699764716e-08
10,-12,-8,1.25856841025599e-07
10,-12,-7,5.9746383605838e-07
10,-12,-6,2.85736091292702e-06
10,-12,-5,1.36547324495944e-05
10,-12,-4,6.49248029040307e-05
10,-12,-3,0.00030633041910828
10,-12,-2,0.00143038962138062
10,-12,-1,0.0065678882347582
10,-12,0,0.0289557445069249
10,-12,1,0.11231927162988
10,-12,2,0.309429932652026
10,-12,3,0.504554072632322
10,-12,4,0.534300769173284
10,-12,5,0.555669649558948
10,-12,6,0.573404918525567
10,-12,7,0.591024927604571
10,-12,8,0.599290833544217
10,-12,9,0.610012307512401
10,-12,10,0.596757482092756
10,-12,11,0.611118312024509
10,-12,12,0.608493953910827
10,-12,13,0.597738300718074
10,-12,14,0.576108827893792
10,-12,15,0.564336695636018
10,-12,16,0.544382559084213
10,-12,17,0.517266724902982
10,-12,18,0.486909125919541
10,-12,19,0.432630707532469
10,-12,20,0.444878494103709
10,-12,21,0.305570717047086
10,-12,22,0.184778208905199
10,-12,23,0.0799580604400165
10,-12,24,0
10,-12,25,0
10,-12,26,0
10,-12,27,0
10,-12,28,0
10,-12,29,0
10,-12,30,0
10,-11,-11,3.40310425377476e-09
10,-11,-10,9.11586297803176e-09
10,-11,-9,3.30829114149046e-08
10,-11,-8,1.41061848042184e-07
10,-11,-7,6.43699319937541e-07
10,-11,-6,3.01399546223953e-06
10,-11,-5,1.42231844642227e-05
10,-11,-4,6.70856977190531e-05
10,-11,-3,0.000314826276876235
10,-11,-2,0.00146464423780005
10,-11,-1,0.00670822006706021
10,-11,0,0.0295287408242453
10,-11,1,0.114515832964426
10,-11,2,0.31602053742047
10,-11,3,0.514846435627778
10,-11,4,0.54571994708305
10,-11,5,0.569728147615506
10,-11,6,0.589559659763729
10,-11,7,0.597335651234603
10,-11,8,0.612168798672608
10,-11,9,0.620112656421103
10,-11,10,0.612240950881322
10,-11,11,0.623108876868839
10,-11,12,0.618849777955756
10,-11,13,0.599367290167117
10,-11,14,0.584735127463893
10,-11,15,0.576878117750129
10,-11,16,0.551250404620706
10,-11,17,0.524952639693882
10,-11,18,0.491736661985938
10,-11,19,0.434517108695919
10,-11,20,0.449739003214894
10,-11,21,0.320975260567977
10,-11,22,0.209918108190141
10,-11,23,0.0869615755742568
10,-11,24,0
10,-11,25,0
10,-11,26,0
10,-11,27,0
10,-11,28,0
10,-11,29,0
10,-11,30,0
10,-10,-10,1.81248597503519e-08
10,-10,-9,4.79818240106024e-08
10,-10,-8,1.71620383630092e-07
10,-10,-7,7.21223769803235e-07
10,-10,-6,3.24576159855925e-06
10,-10,-5,1.4995727082128e-05
10,-10,-4,6.98467716818035e-05
10,-10,-3,0.000325168129394871
10,-10,-2,0.00150468957181552
10,-10,-1,0.00686663184459349
10,-10,0,0.0301554765778455
10,-10,1,0.116849415395067
10,-10,2,0.322887456984278
10,-10,3,0.525152385103832
10,-10,4,0.556398956548557
10,-10,5,0.579772547454739
10,-10,6,0.60304492130373
10,-10,7,0.604631435620864
10,-10,8,0.626657338874187
10,-10,9,0.623877363313696
10,-10,10,0.631583679458865
10,-10,11,0.634044280429158
10,-10,12,0.626340046491861
10,-10,13,0.602941091373815
10,-10,14,0.598420479959005
10,-10,15,0.581937373408531
10,-10,16,0.553608784109526
10,-10,17,0.529844655856467
10,-10,18,0.486919581623943
10,-10,19,0.452498318646975
10,-10,20,0.464025492577427
10,-10,21,0.341210507067392
10,-10,22,0.221399191378519
10,-10,23,0.107254442792488
10,-10,24,0.0125272029961572
10,-10,25,0
10,-10,26,0
10,-10,27,0
10,-10,28,0
10,-10,29,0
10,-10,30,0
10,-9,-9,9.50105131118442e-08
10,-9,-8,2.48762744567177e-07
10,-9,-7,8.77489241987601e-07
10,-9,-6,3.63615143852906e-06
10,-9,-5,1.61442382743496e-05
10,-9,-4,7.3615783700449e-05
10,-9,-3,0.000338435529843296
10,-9,-2,0.00155360451826039
10,-9,-1,0.00705221836411812
10,-9,0,0.0308622728053818
10,-9,1,0.119384135645737
10,-9,2,0.33012396226582
10,-9,3,0.535571957493635
10,-9,4,0.565887966295675
10,-9,5,0.594234433258902
10,-9,6,0.619659522118998
10,-9,7,0.618902815756784
10,-9,8,0.63916898605366
10,-9,9,0.630749528657367
10,-9,10,0.648205104461086
10,-9,11,0.643158574090965
10,-9,12,0.634885380538618
10,-9,13,0.621044742602823
10,-9,14,0.613960662389556
10,-9,15,0.581884789687629
10,-9,16,0.558595215257899
10,-9,17,0.52167974955655
10,-9,18,0.489655961187097
10,-9,19,0.450527862125496
10,-9,20,0.475437305576462
10,-9,21,0.363867133171443
10,-9,22,0.228197424981582
10,-9,23,0.121044780459232
10,-9,24,0.0327963683167754
10,-9,25,0
10,-9,26,0
10,-9,27,0
10,-9,28,0
10,-9,29,0
10,-9,30,0
10,-8,-8,4.90593329929235e-07
10,-8,-7,1.27123959646027e-06
10,-8,-6,4.42466740562532e-06
10,-8,-5,1.80859605529991e-05
10,-8,-4,7.92411771657271e-05
10,-8,-3,0.000356614662248861
10,-8,-2,0.00161657902128853
10,-8,-1,0.00727941820847834
10,-8,0,0.0316895569358027
10,-8,1,0.122214568605713
10,-8,2,0.337781727755817
10,-8,3,0.54585023120074
10,-8,4,0.575854699474389
10,-8,5,0.605483818542675
10,-8,6,0.629744965711706
10,-8,7,0.631823131679076
10,-8,8,0.647405695443188
10,-8,9,0.647642834903524
10,-8,10,0.658047164108892
10,-8,11,0.653401222756032
10,-8,12,0.640125732711142
10,-8,13,0.638583524320381
10,-8,14,0.618700586346568
10,-8,15,0.585544253751818
10,-8,16,0.559027416814842
10,-8,17,0.531903989129487
10,-8,18,0.50220663786402
10,-8,19,0.469757442485982
10,-8,20,0.469631005535257
10,-8,21,0.353962616601103
10,-8,22,0.23671825593181
10,-8,23,0.135579330947416
10,-8,24,0.0456684268740722
10,-8,25,0
10,-8,26,0
10,-8,27,0
10,-8,28,0
10,-8,29,0
10,-8,30,0
10,-7,-7,2.49703103300108e-06
10,-7,-6,6.40692613594556e-06
10,-7,-5,2.20131456863033e-05
10,-7,-4,8.87805800769398e-05
10,-7,-3,0.000383842022925111
10,-7,-2,0.00170315778321228
10,-7,-1,0.00757253266826425
10,-7,0,0.0327004721837819
10,-7,1,0.125473407904153
10,-7,2,0.346112752154542
10,-7,3,0.555973248744579
10,-7,4,0.586180662136862
10,-7,5,0.606827793009371
10,-7,6,0.639995185662137
10,-7,7,0.647459395887464
10,-7,8,0.657000610269405
10,-7,9,0.665300744835182
10,-7,10,0.66839703762822
10,-7,11,0.659698674195862
10,-7,12,0.65533877919382
10,-7,13,0.646067743811259
10,-7,14,0.61083449366034
10,-7,15,0.586697544127181
10,-7,16,0.565140646411012
10,-7,17,0.546366083864804
10,-7,18,0.512312166253077
10,-7,19,0.482041258703666
10,-7,20,0.459850683489721
10,-7,21,0.350172096052586
10,-7,22,0.246527948107639
10,-7,23,0.133223505573174
10,-7,24,0.0535314067600361
10,-7,25,0
10,-7,26,0
10,-7,27,0
10,-7,28,0
10,-7,29,0
10,-7,30,0
10,-6,-6,1.2534465601864e-05
10,-6,-5,3.18593801014202e-05
10,-6,-4,0.000108090610920164
10,-6,-3,0.000430125599660183
10,-6,-2,0.00183314079816081
10,-6,-1,0.00797599127429215
10,-6,0,0.0339987047951084
10,-6,1,0.12936665401047
10,-6,2,0.35530330187956
10,-6,3,0.565574828354618
10,-6,4,0.596875775701135
10,-6,5,0.62597641474489
10,-6,6,0.645186771491082
10,-6,7,0.661145578847031
10,-6,8,0.661098457511573
10,-6,9,0.679953524933445
10,-6,10,0.675567164675298
10,-6,11,0.66950481725436
10,-6,12,0.669054481277094
10,-6,13,0.650995477620217
10,-6,14,0.618542291123712
10,-6,15,0.596198062841507
10,-6,16,0.582991293170057
10,-6,17,0.552547737139901
10,-6,18,0.524672434620651
10,-6,19,0.492720245289695
10,-6,20,0.461541497374536
10,-6,21,0.352487941265299
10,-6,22,0.258713085773749
10,-6,23,0.126314207992873
10,-6,24,0.0445780956728158
10,-6,25,0
10,-6,26,0
10,-6,27,0
10,-6,28,0
10,-6,29,0
10,-6,30,0
10,-5,-5,6.20800965265855e-05
10,-5,-4,0.000156356028834763
10,-5,-3,0.000523821847356703
10,-5,-2,0.00205433657636651
10,-5,-1,0.00858180146848411
10,-5,0,0.0357746108778372
10,-5,1,0.134240828549998
10,-5,2,0.365735198256546
10,-5,3,0.574850501263495
10,-5,4,0.610251743441403
10,-5,5,0.643939421088053
10,-5,6,0.65547439707395
10,-5,7,0.667469784127596
10,-5,8,0.682624683967969
10,-5,9,0.687618883368462
10,-5,10,0.680719811632667
10,-5,11,0.685312517939499
10,-5,12,0.673989349804451
10,-5,13,0.652102871316862
10,-5,14,0.625929696781525
10,-5,15,0.60708507233512
10,-5,16,0.59431890862575
10,-5,17,0.565192656099044
10,-5,18,0.53129149179213
10,-5,19,0.459322972912806
10,-5,20,0.463511782707019
10,-5,21,0.349495037787365
10,-5,22,0.251173320162536
10,-5,23,0.120474823582482
10,-5,24,0.0661304361791109
10,-5,25,0
10,-5,26,0
10,-5,27,0
10,-5,28,0
10,-5,29,0
10,-5,30,0
10,-4,-4,0.00030341654735145
10,-4,-3,0.000757168325973011
10,-4,-2,0.00250170377222001
10,-4,-1,0.00961187559722003
10,-4,0,0.0384245619755135
10,-4,1,0.140760929385491
10,-4,2,0.378049449258656
10,-4,3,0.584872817436525
10,-4,4,0.622857816217183
10,-4,5,0.660727027609869
10,-4,6,0.670068191818979
10,-4,7,0.669669931417986
10,-4,8,0.695342140250349
10,-4,9,0.696731322646948
10,-4,10,0.694911917563252
10,-4,11,0.695281314759762
10,-4,12,0.680841604447174
10,-4,13,0.663833917138779
10,-4,14,0.642097956788545
10,-4,15,0.619458702666686
10,-4,16,0.596376290142508
10,-4,17,0.565957026784091
10,-4,18,0.501415107244476
10,-4,19,0.471618949733646
10,-4,20,0.467342556084209
10,-4,21,0.345702308952276
10,-4,22,0.217158704910822
10,-4,23,0.131503866873353
10,-4,24,0.0777616727341009
10,-4,25,0
10,-4,26,0
10,-4,27,0
10,-4,28,0
10,-4,29,0
10,-4,30,0
10,-3,-3,0.00146245186267111
10,-3,-2,0.00361036107022243
10,-3,-1,0.0116877378287549
10,-3,0,0.0428948432517942
10,-3,1,0.150225031834835
10,-3,2,0.393369465139304
10,-3,3,0.594019579721088
10,-3,4,0.629330619943674
10,-3,5,0.67656219078752
10,-3,6,0.679640483241809
10,-3,7,0.694728710984354
10,-3,8,0.700088325746904
10,-3,9,0.701286417361637
10,-3,10,0.708219163583673
10,-3,11,0.698080744684474
10,-3,12,0.69105751927894
10,-3,13,0.680674863935802
10,-3,14,0.659625852360896
10,-3,15,0.627304370833827
10,-3,16,0.571547236117041
10,-3,17,0.540714588454187
10,-3,18,0.513355821327666
10,-3,19,0.46259392861086
10,-3,20,0.462894419399494
10,-3,21,0.319976018686765
10,-3,22,0.227902993078812
10,-3,23,0.153474740289265
10,-3,24,0.0801832624173788
10,-3,25,0
10,-3,26,0
10,-3,27,0
10,-3,28,0
10,-3,29,0
10,-3,30,0
10,-2,-2,0.00692292244176414
10,-2,-1,0.016778262136682
10,-2,0,0.0517740980319772
10,-2,1,0.165652565231275
10,-2,2,0.413872754589461
10,-2,3,0.601296865126595
10,-2,4,0.636641283016035
10,-2,5,0.678742649095467
10,-2,6,0.676442116879278
10,-2,7,0.705401737276106
10,-2,8,0.704551956908545
10,-2,9,0.709155334547648
10,-2,10,0.708873170888748
10,-2,11,0.708009717066766
10,-2,12,0.705389094092144
10,-2,13,0.690894448668459
10,-2,14,0.644698548261186
10,-2,15,0.593309602571484
10,-2,16,0.546310714017914
10,-2,17,0.544796655928597
10,-2,18,0.500181112404504
10,-2,19,0.465407164703472
10,-2,20,0.469999181211821
10,-2,21,0.334465130019661
10,-2,22,0.236156826741606
10,-2,23,0.158058222316342
10,-2,24,0.08097687444068
10,-2,25,0
10,-2,26,0
10,-2,27,0
10,-2,28,0
10,-2,29,0
10,-2,30,0
10,-1,-1,0.0315899315741219
10,-1,0,0.0728447224290637
10,-1,1,0.19473816548
10,-1,2,0.44420686933116
10,-1,3,0.610100242361579
10,-1,4,0.644504193990395
10,-1,5,0.698851213540771
10,-1,6,0.705068952653584
10,-1,7,0.711261736319481
10,-1,8,0.716511333565854
10,-1,9,0.71719042206478
10,-1,10,0.723773194234953
10,-1,11,0.726460036214834
10,-1,12,0.711619923494753
10,-1,13,0.671333253367801
10,-1,14,0.650998796653062
10,-1,15,0.589682681362175
10,-1,16,0.598216140016546
10,-1,17,0.543073731951515
10,-1,18,0.525907821359298
10,-1,19,0.464843861141158
10,-1,20,0.46724876162042
10,-1,21,0.318033393678346
10,-1,22,0.238822742435684
10,-1,23,0.164989072700611
10,-1,24,0.0736066183976672
10,-1,25,0
10,-1,26,0
10,-1,27,0
10,-1,28,0
10,-1,29,0
10,-1,30,0
10,0,0,0.129224741976858
10,0,1,0.257036680113911
10,0,2,0.494471096180974
10,0,3,0.623162713216305
10,0,4,0.659054405586031
10,0,5,0.70514553319157
10,0,6,0.714894724432059
10,0,7,0.72450484789785
10,0,8,0.724216791944088
10,0,9,0.736082021106242
10,0,10,0.740502995220313
10,0,11,0.720284231111671
10,0,12,0.696752583371315
10,0,13,0.68633726018804
10,0,14,0.66840442037824
10,0,15,0.627583358602166
10,0,16,0.577126741722674
10,0,17,0.515310524141731
10,0,18,0.495780260867665
10,0,19,0.473248172186821
10,0,20,0.439450107189418
10,0,21,0.306834634774212
10,0,22,0.237128110308548
10,0,23,0.147820941193944
10,0,24,0.0677115106111475
10,0,25,0
10,0,26,0
10,0,27,0
10,0,28,0
10,0,29,0
10,0,30,0
10,1,1,0.389420828083529
10,1,2,0.582077671431303
10,1,3,0.64209951031417
10,1,4,0.674852442152301
10,1,5,0.737416152292889
10,1,6,0.740851701478635
10,1,7,0.747381107374749
10,1,8,0.754136033062979
10,1,9,0.754679201237854
10,1,10,0.746257544225906
10,1,11,0.732910503682421
10,1,12,0.727942505000528
10,1,13,0.696127056571332
10,1,14,0.67272796121417
10,1,15,0.532895126187653
10,1,16,0.591795476179926
10,1,17,0.41347308430119
10,1,18,0.490264440993392
10,1,19,0.4415101142577
10,1,20,0.41710482467595
10,1,21,0.288125022405987
10,1,22,0.222485437353791
10,1,23,0.127412215284201
10,1,24,0.0505448390621184
10,1,25,0
10,1,26,0
10,1,27,0
10,1,28,0
10,1,29,0
10,1,30,0
10,2,2,0.650358636641485
10,2,3,0.660030941194595
10,2,4,0.691650126038272
10,2,5,0.754555279338168
10,2,6,0.762299850715645
10,2,7,0.772954515880857
10,2,8,0.769246165387633
10,2,9,0.76441796491028
10,2,10,0.765464284933842
10,2,11,0.763587969581775
10,2,12,0.739095794939959
10,2,13,0.722705632563936
10,2,14,0.691986654640872
10,2,15,0.628453896942755
10,2,16,0.602511806587065
10,2,17,0.553468386868431
10,2,18,0.360475306624036
10,2,19,0.369155735377658
10,2,20,0.318677414695832
10,2,21,0.287604730343724
10,2,22,0.198689733268765
10,2,23,0.0962788101367579
10,2,24,0.02776263605159
10,2,25,0
10,2,26,0
10,2,27,0
10,2,28,0
10,2,29,0
10,2,30,0
10,3,3,0.673855406191368
10,3,4,0.70421777440431
10,3,5,0.772272666099614
10,3,6,0.779469540598231
10,3,7,0.784497459225599
10,3,8,0.774121084975027
10,3,9,0.76210756002198
10,3,10,0.747327238657314
10,3,11,0.740385420252256
10,3,12,0.716941401898071
10,3,13,0.671448254292095
10,3,14,0.658994307259418
10,3,15,0.622453940537648
10,3,16,0.580104572404084
10,3,17,0.432290001821897
10,3,18,0.370079230473318
10,3,19,0.357386644148519
10,3,20,0.244116605074992
10,3,21,0.191806039001402
10,3,22,0.140271698888796
10,3,23,0.109954813960245
10,3,24,0
10,3,25,0
10,3,26,0
10,3,27,0
10,3,28,0
10,3,29,0
10,3,30,0
10,4,4,0.734461251188392
10,4,5,0.784117583297961
10,4,6,0.782520590849375
10,4,7,0.7844294362303
10,4,8,0.777271431421605
10,4,9,0.772069345716312
10,4,10,0.764834091797866
10,4,11,0.751381738863009
10,4,12,0.734198515254365
10,4,13,0.711147918696624
10,4,14,0.686706319184213
10,4,15,0.662207273022472
10,4,16,0.633031314884646
10,4,17,0.583596870301672
10,4,18,0.553007065008569
10,4,19,0.53452630222346
10,4,20,0.374144997684125
10,4,21,0.26310348141158
10,4,22,0.132299385008317
10,4,23,0.0812740265205789
10,4,24,0
10,4,25,0
10,4,26,0
10,4,27,0
10,4,28,0
